Numéro d'Étudiant,code_ue,note
2012000001,S07A001,5
2012000001,S07A002,20
2012000001,S07A003,6
2012000001,S07A004,19
2012000001,S07A005,14
2012000001,S07A006,18
2012000001,S07A007,17
2012000001,S07A008,19
2012000001,S07A009,2
2012000001,S07A010,20
2012000001,S07A011,16
2012000001,S07A012,16
2012000001,S07A013,5
2012000001,S07A014,9
2012000001,S07A015,8
2012000001,S07A016,15
2012000001,S07A017,5
2012000001,S07A018,8
2012000001,S07A019,17
2012000001,S07A020,18
2012000001,S07A021,3
2012000001,S07A022,20
2012000001,S07A023,8
2012000001,S07A024,7
2012000001,S07A025,11
2012000001,S07A026,12
2012000001,S07A027,13
2012000001,S07A028,15
2012000001,S07A029,18
2012000001,S07A030,2
2012000001,S07A031,19
2012000001,S07A032,0
2012000001,S07A033,3
2012000001,S07A034,3
2012000001,S07A035,18
2012000001,S07A036,1
2012000001,S07A037,16
2012000001,S07A038,10
2012000001,S07A039,3
2012000001,S07A040,9
2012000001,S07A041,8
2012000001,S07A042,0
2012000001,S07A043,13
2012000001,S07A044,19
2012000001,S07A045,2
2012000001,S07A046,2
2012000001,S07A047,13
2012000001,S07A048,20
2012000001,S07A049,10
2012000001,S07A050,4
2012000001,S07A051,19
2012000001,S07A052,2
2012000001,S07A053,2
2012000001,S07A054,1
2012000001,S07A055,18
2012000001,S07A056,10
2012000001,S07A057,0
2012000001,S07A058,0
2012000001,S07A059,7
2012000001,S07A060,12
2012000001,S07A061,4
2012000001,S07A062,2
2012000001,S07A063,8
2012000001,S07A064,0
2012000001,S07A065,10
2012000001,S07A066,19
2012000001,S07A067,15
2012000001,S07A068,1
2012000001,S07A069,2
2012000001,S07A070,13
2012000001,S07A071,19
2012000001,S07A072,10
2012000001,S07A073,14
2012000001,S07A074,14
2012000001,S07A075,10
2012000001,S07A076,7
2012000001,S07A077,19
2012000001,S07A078,10
2012000001,S07A079,6
2012000001,S07A080,9
2012000001,S07A081,6
2012000001,S07A082,19
2012000001,S07A083,6
2012000001,S07A084,20
2012000001,S07A085,5
2012000001,S07A086,0
2012000001,S07A087,16
2012000001,S07A088,2
2012000001,S07A089,13
2012000001,S07A090,18
2012000001,S07A091,13
2012000001,S07A092,18
2012000001,S07A093,2
2012000001,S07A094,3
2012000001,S07A095,14
2012000001,S07A096,11
2012000001,S07A097,19
2012000001,S07A098,0
2012000001,S07A099,5
2012000001,S07A100,18
2012000002,S07A001,7
2012000002,S07A002,11
2012000002,S07A003,19
2012000002,S07A004,17
2012000002,S07A005,5
2012000002,S07A006,2
2012000002,S07A007,13
2012000002,S07A008,13
2012000002,S07A009,20
2012000002,S07A010,20
2012000002,S07A011,19
2012000002,S07A012,1
2012000002,S07A013,15
2012000002,S07A014,8
2012000002,S07A015,6
2012000002,S07A016,12
2012000002,S07A017,20
2012000002,S07A018,16
2012000002,S07A019,6
2012000002,S07A020,1
2012000002,S07A021,10
2012000002,S07A022,12
2012000002,S07A023,12
2012000002,S07A024,7
2012000002,S07A025,6
2012000002,S07A026,19
2012000002,S07A027,20
2012000002,S07A028,15
2012000002,S07A029,5
2012000002,S07A030,7
2012000002,S07A031,20
2012000002,S07A032,10
2012000002,S07A033,19
2012000002,S07A034,14
2012000002,S07A035,2
2012000002,S07A036,2
2012000002,S07A037,17
2012000002,S07A038,19
2012000002,S07A039,9
2012000002,S07A040,13
2012000002,S07A041,7
2012000002,S07A042,17
2012000002,S07A043,14
2012000002,S07A044,19
2012000002,S07A045,19
2012000002,S07A046,13
2012000002,S07A047,13
2012000002,S07A048,19
2012000002,S07A049,13
2012000002,S07A050,2
2012000002,S07A051,14
2012000002,S07A052,4
2012000002,S07A053,9
2012000002,S07A054,13
2012000002,S07A055,0
2012000002,S07A056,2
2012000002,S07A057,2
2012000002,S07A058,8
2012000002,S07A059,12
2012000002,S07A060,10
2012000002,S07A061,4
2012000002,S07A062,3
2012000002,S07A063,2
2012000002,S07A064,17
2012000002,S07A065,2
2012000002,S07A066,7
2012000002,S07A067,2
2012000002,S07A068,8
2012000002,S07A069,13
2012000002,S07A070,12
2012000002,S07A071,20
2012000002,S07A072,19
2012000002,S07A073,12
2012000002,S07A074,13
2012000002,S07A075,19
2012000002,S07A076,14
2012000002,S07A077,12
2012000002,S07A078,13
2012000002,S07A079,18
2012000002,S07A080,10
2012000002,S07A081,15
2012000002,S07A082,16
2012000002,S07A083,17
2012000002,S07A084,19
2012000002,S07A085,0
2012000002,S07A086,8
2012000002,S07A087,4
2012000002,S07A088,8
2012000002,S07A089,20
2012000002,S07A090,5
2012000002,S07A091,7
2012000002,S07A092,20
2012000002,S07A093,4
2012000002,S07A094,6
2012000002,S07A095,14
2012000002,S07A096,19
2012000002,S07A097,3
2012000002,S07A098,15
2012000002,S07A099,16
2012000002,S07A100,11
2012000003,S07A001,8
2012000003,S07A002,11
2012000003,S07A003,3
2012000003,S07A004,0
2012000003,S07A005,14
2012000003,S07A006,0
2012000003,S07A007,13
2012000003,S07A008,6
2012000003,S07A009,9
2012000003,S07A010,7
2012000003,S07A011,6
2012000003,S07A012,12
2012000003,S07A013,14
2012000003,S07A014,18
2012000003,S07A015,4
2012000003,S07A016,1
2012000003,S07A017,16
2012000003,S07A018,1
2012000003,S07A019,12
2012000003,S07A020,17
2012000003,S07A021,19
2012000003,S07A022,7
2012000003,S07A023,12
2012000003,S07A024,1
2012000003,S07A025,11
2012000003,S07A026,12
2012000003,S07A027,5
2012000003,S07A028,9
2012000003,S07A029,18
2012000003,S07A030,2
2012000003,S07A031,1
2012000003,S07A032,10
2012000003,S07A033,2
2012000003,S07A034,5
2012000003,S07A035,10
2012000003,S07A036,13
2012000003,S07A037,11
2012000003,S07A038,7
2012000003,S07A039,0
2012000003,S07A040,0
2012000003,S07A041,20
2012000003,S07A042,17
2012000003,S07A043,19
2012000003,S07A044,3
2012000003,S07A045,1
2012000003,S07A046,14
2012000003,S07A047,18
2012000003,S07A048,7
2012000003,S07A049,0
2012000003,S07A050,16
2012000003,S07A051,19
2012000003,S07A052,10
2012000003,S07A053,11
2012000003,S07A054,6
2012000003,S07A055,10
2012000003,S07A056,0
2012000003,S07A057,13
2012000003,S07A058,4
2012000003,S07A059,1
2012000003,S07A060,10
2012000003,S07A061,4
2012000003,S07A062,18
2012000003,S07A063,2
2012000003,S07A064,7
2012000003,S07A065,4
2012000003,S07A066,14
2012000003,S07A067,0
2012000003,S07A068,18
2012000003,S07A069,17
2012000003,S07A070,9
2012000003,S07A071,9
2012000003,S07A072,14
2012000003,S07A073,2
2012000003,S07A074,3
2012000003,S07A075,14
2012000003,S07A076,15
2012000003,S07A077,18
2012000003,S07A078,13
2012000003,S07A079,13
2012000003,S07A080,4
2012000003,S07A081,5
2012000003,S07A082,16
2012000003,S07A083,12
2012000003,S07A084,15
2012000003,S07A085,9
2012000003,S07A086,1
2012000003,S07A087,19
2012000003,S07A088,2
2012000003,S07A089,7
2012000003,S07A090,15
2012000003,S07A091,15
2012000003,S07A092,10
2012000003,S07A093,7
2012000003,S07A094,14
2012000003,S07A095,6
2012000003,S07A096,16
2012000003,S07A097,1
2012000003,S07A098,16
2012000003,S07A099,20
2012000003,S07A100,15
2012000004,S07A001,3
2012000004,S07A002,2
2012000004,S07A003,10
2012000004,S07A004,14
2012000004,S07A005,11
2012000004,S07A006,18
2012000004,S07A007,17
2012000004,S07A008,11
2012000004,S07A009,2
2012000004,S07A010,18
2012000004,S07A011,4
2012000004,S07A012,8
2012000004,S07A013,14
2012000004,S07A014,6
2012000004,S07A015,6
2012000004,S07A016,4
2012000004,S07A017,19
2012000004,S07A018,5
2012000004,S07A019,4
2012000004,S07A020,6
2012000004,S07A021,0
2012000004,S07A022,12
2012000004,S07A023,15
2012000004,S07A024,5
2012000004,S07A025,18
2012000004,S07A026,9
2012000004,S07A027,8
2012000004,S07A028,7
2012000004,S07A029,16
2012000004,S07A030,10
2012000004,S07A031,11
2012000004,S07A032,0
2012000004,S07A033,2
2012000004,S07A034,2
2012000004,S07A035,19
2012000004,S07A036,4
2012000004,S07A037,4
2012000004,S07A038,0
2012000004,S07A039,16
2012000004,S07A040,5
2012000004,S07A041,15
2012000004,S07A042,3
2012000004,S07A043,12
2012000004,S07A044,0
2012000004,S07A045,19
2012000004,S07A046,19
2012000004,S07A047,5
2012000004,S07A048,9
2012000004,S07A049,2
2012000004,S07A050,4
2012000004,S07A051,12
2012000004,S07A052,4
2012000004,S07A053,10
2012000004,S07A054,10
2012000004,S07A055,12
2012000004,S07A056,17
2012000004,S07A057,8
2012000004,S07A058,0
2012000004,S07A059,5
2012000004,S07A060,9
2012000004,S07A061,1
2012000004,S07A062,19
2012000004,S07A063,8
2012000004,S07A064,13
2012000004,S07A065,5
2012000004,S07A066,12
2012000004,S07A067,0
2012000004,S07A068,11
2012000004,S07A069,20
2012000004,S07A070,13
2012000004,S07A071,7
2012000004,S07A072,6
2012000004,S07A073,13
2012000004,S07A074,17
2012000004,S07A075,7
2012000004,S07A076,17
2012000004,S07A077,16
2012000004,S07A078,0
2012000004,S07A079,15
2012000004,S07A080,4
2012000004,S07A081,10
2012000004,S07A082,10
2012000004,S07A083,17
2012000004,S07A084,9
2012000004,S07A085,2
2012000004,S07A086,7
2012000004,S07A087,8
2012000004,S07A088,17
2012000004,S07A089,8
2012000004,S07A090,6
2012000004,S07A091,15
2012000004,S07A092,0
2012000004,S07A093,16
2012000004,S07A094,18
2012000004,S07A095,2
2012000004,S07A096,19
2012000004,S07A097,20
2012000004,S07A098,19
2012000004,S07A099,5
2012000004,S07A100,5
